epoch,loss,loss/beta,loss/data,loss/ic,loss/res,loss/smma,lr,step
,,,,,,,0.0005,0
0,315570.21875,1.5986967086791992,5653.36328125,309915.4375,1.4379873275756836,,,45
,,,,,,,0.0005,46
1,305985.78125,6.310852527618408,5623.5888671875,300357.0625,5.187928676605225,,,91
,,,,,,,0.0005,92
2,303377.53125,20.971954345703125,5591.935546875,297769.0625,16.549243927001953,,,137
,,,,,,,0.0005,138
3,301318.96875,28.302684783935547,5515.6494140625,295762.40625,40.90810012817383,,,183
,,,,,,,0.0005,184
4,299367.1875,28.500991821289062,5399.263671875,293899.71875,68.18168640136719,,,229
,,,,,,,0.0005,230
5,297509.5,27.240253448486328,5326.21630859375,292100.6875,82.60005187988281,,,275
,,,,,,,0.0005,276
6,295726.3125,27.235769271850586,5302.63134765625,290340.84375,82.76181030273438,,,321
,,,,,,,0.0005,322
7,293977.53125,24.773160934448242,5279.9501953125,288620.90625,76.72666931152344,,,367
,,,,,,,0.0005,368
8,292254.21875,21.361175537109375,5250.58056640625,286926.40625,77.2515640258789,,,413
,,,,,,,0.0005,414
9,290557.8125,19.068208694458008,5228.28173828125,285248.625,80.8991470336914,,,459
,,,,,,,0.0005,460
10,288882.3125,17.500131607055664,5210.83251953125,283585.90625,85.56697082519531,,,505
,,,,,,,0.0005,506
11,287221.71875,16.325098037719727,5194.6962890625,281936.40625,90.55574035644531,,,551
,,,,,,,0.0005,552
12,285575.75,15.368659973144531,5181.24755859375,280299.0,95.50531768798828,,,597
,,,,,,,0.0005,598
13,283940.3125,14.573896408081055,5167.8232421875,278672.5,99.95268249511719,,,643
,,,,,,,0.0005,644
14,282318.09375,13.931013107299805,5156.86083984375,277057.1875,104.01321411132812,,,689
,,,,,,,0.0005,690
15,280702.1875,13.4155855178833,5143.3076171875,275452.0,106.86758422851562,,,735
,,,,,,,0.0005,736
16,279105.75,13.032002449035645,5133.12451171875,273860.4375,112.24006652832031,,,781
,,,,,,,0.0005,782
17,277495.21875,12.787118911743164,5112.2236328125,272273.5,109.45930480957031,,,827
,,,,,,,0.0005,828
18,275986.53125,12.438606262207031,5148.033203125,270720.03125,118.42965698242188,,,873
,,,,,,,0.0005,874
19,274367.875,12.438457489013672,5090.38818359375,269164.9375,112.6355209350586,,,919
,,,,,,,0.0005,920
20,272914.96875,12.521498680114746,5169.1181640625,267627.84375,117.9860610961914,,,965
,,,,,,,0.0005,966
21,271269.09375,12.513733863830566,5064.12109375,266092.78125,112.30284881591797,,,1011
,,,,,,,0.0005,1012
22,269840.78125,13.12916374206543,5154.92333984375,264569.40625,116.39411926269531,,,1057
,,,,,,,0.0005,1058
23,268180.09375,13.037534713745117,5021.00439453125,263046.0,113.10957336425781,,,1103
,,,,,,,0.0005,1104
24,266735.28125,13.613216400146484,5087.7294921875,261529.984375,117.5230941772461,,,1149
,,,,,,,0.0005,1150
25,265111.21875,13.828741073608398,4977.1884765625,260015.6875,118.33766174316406,,,1195
,,,,,,,0.0005,1196
26,263655.9375,14.140410423278809,5022.71142578125,258509.1875,124.07064056396484,,,1241
,,,,,,,0.0005,1242
27,262066.921875,14.78199577331543,4937.82080078125,257004.75,124.37872314453125,,,1287
,,,,,,,0.0005,1288
28,260622.40625,15.007795333862305,4981.37939453125,255510.375,130.6038055419922,,,1333
,,,,,,,0.0005,1334
29,259052.015625,15.828307151794434,4903.98193359375,254018.671875,129.3650665283203,,,1379
,,,,,,,0.0005,1380
30,257639.6875,16.004159927368164,4963.55322265625,252539.625,136.50070190429688,,,1425
,,,,,,,0.0005,1426
31,256072.703125,16.628883361816406,4876.38037109375,251063.203125,133.07106018066406,,,1471
,,,,,,,0.0005,1472
32,254705.25,16.74587059020996,4962.001953125,249601.21875,142.08839416503906,,,1517
,,,,,,,0.0005,1518
33,253128.703125,16.85202407836914,4852.626953125,248140.078125,136.02536010742188,,,1563
,,,,,,,0.0005,1564
34,251790.671875,16.904600143432617,4952.51318359375,246693.265625,144.93798828125,,,1609
,,,,,,,0.0005,1610
35,250213.78125,16.523130416870117,4830.3017578125,245247.109375,136.32711791992188,,,1655
,,,,,,,0.0005,1656
36,248904.6875,16.384540557861328,4941.3505859375,243815.203125,148.0832061767578,,,1701
,,,,,,,0.0005,1702
37,247329.25,15.531956672668457,4809.552734375,242379.765625,139.97804260253906,,,1747
,,,,,,,0.0005,1748
38,246005.140625,15.327831268310547,4898.23828125,240956.046875,150.8973388671875,,,1793
,,,,,,,0.0005,1794
39,244455.984375,14.399544715881348,4786.77001953125,239529.265625,139.86424255371094,,,1839
,,,,,,,0.0005,1840
40,243106.671875,14.059209823608398,4848.47900390625,238114.203125,144.05979919433594,,,1885
,,,,,,,0.0005,1886
41,241601.59375,13.191166877746582,4770.013671875,236698.4375,133.105224609375,,,1931
,,,,,,,0.0005,1932
42,240221.9375,13.0978364944458,4806.0439453125,235292.5,123.4132308959961,,,1977
,,,,,,,0.0005,1978
43,238728.984375,13.227551460266113,4742.84326171875,233882.9375,103.23992919921875,,,2023
,,,,,,,0.0005,2024
44,237305.09375,14.119490623474121,4737.39453125,232477.546875,90.11988830566406,,,2069
,,,,,,,0.0005,2070
45,235823.96875,16.240880966186523,4688.14892578125,231063.703125,72.13428497314453,,,2115
,,,,,,,0.0005,2116
46,234376.59375,19.479389190673828,4676.1640625,229655.421875,45.01789474487305,,,2161
,,,,,,,0.0005,2162
47,232902.8125,21.90123748779297,4631.2919921875,228237.9375,33.62450408935547,,,2207
,,,,,,,0.0005,2208
48,231479.3125,20.67109489440918,4615.77099609375,226828.65625,34.92420196533203,,,2253
,,,,,,,0.0005,2254
49,230024.125,20.309019088745117,4575.47412109375,225414.703125,33.95513916015625,,,2299
,,,,,,,0.0005,2300
50,228602.609375,18.759418487548828,4559.203125,224008.0,35.38582992553711,,,2345
,,,,,,,0.0005,2346
51,227169.96875,17.814512252807617,4527.41357421875,222607.46875,35.11664581298828,,,2391
,,,,,,,0.0005,2392
52,225761.046875,16.37922477722168,4510.16796875,221215.171875,35.737735748291016,270587.34375,,2437
,,,,,,,0.0005,2438
53,224348.96875,15.0466947555542,4484.013671875,219829.5,35.4739990234375,269662.59375,,2483
,,,,,,,0.0005,2484
54,222954.21875,13.554778099060059,4466.34326171875,218452.0,35.919166564941406,268728.4375,,2529
,,,,,,,0.0005,2530
55,221560.25,12.224027633666992,4443.4765625,217080.953125,35.801212310791016,267785.0625,,2575
,,,,,,,0.0005,2576
56,220178.328125,10.916581153869629,4425.18115234375,215717.203125,35.912841796875,266832.9375,,2621
,,,,,,,0.0005,2622
57,218800.03125,9.750863075256348,4404.6845703125,214359.625,35.73867416381836,265872.28125,,2667
,,,,,,,0.0005,2668
58,217430.265625,8.649650573730469,4386.18798828125,213008.46875,35.605987548828125,264903.4375,,2713
,,,,,,,0.0005,2714
59,216065.59375,7.656481742858887,4367.01953125,211663.234375,35.33744430541992,263926.65625,,2759
,,,,,,,0.0005,2760
60,214707.328125,6.726556777954102,4348.5517578125,210323.671875,35.07184600830078,262942.28125,,2805
,,,,,,,0.0005,2806
61,213352.390625,5.8464837074279785,4328.623046875,208989.734375,34.0058479309082,261950.484375,,2851
,,,,,,,0.0005,2852
62,212007.078125,4.984722137451172,4311.19384765625,207661.953125,33.95503234863281,260951.625,,2897
,,,,,,,0.0005,2898
63,210664.8125,4.189538478851318,4291.8212890625,206339.25,33.749446868896484,259945.875,,2943
,,,,,,,0.0005,2944
64,209326.859375,3.4999566078186035,4272.85302734375,205020.6875,33.3081169128418,258933.5,,2989
,,,,,,,0.0005,2990
65,207997.296875,2.7209908962249756,4255.67041015625,203708.125,33.513004302978516,257914.78125,,3035
,,,,,,,0.0005,3036
66,206671.65625,2.0024752616882324,4236.9345703125,202401.328125,33.3656005859375,256889.921875,,3081
,,,,,,,0.0005,3082
67,205353.28125,1.3222711086273193,4219.3076171875,201100.640625,33.34866714477539,255859.1875,,3127
,,,,,,,0.0005,3128
68,204041.3125,0.7405503392219543,4201.453125,199806.640625,33.235443115234375,254822.828125,,3173
,,,,,,,0.0005,3174
69,202736.46875,0.3401828408241272,4184.0576171875,198519.40625,33.00562286376953,253781.09375,,3219
,,,,,,,0.0005,3220
70,201438.28125,0.3346945643424988,4166.89453125,197238.8125,32.56919479370117,252734.234375,,3265
,,,,,,,0.0005,3266
71,200146.359375,0.7218116521835327,4150.01953125,195964.328125,32.020782470703125,251682.484375,,3311
,,,,,,,0.0005,3312
72,198860.203125,1.1084955930709839,4133.3251953125,194695.375,31.503807067871094,250626.03125,,3357
,,,,,,,0.0005,3358
73,197579.578125,1.465996265411377,4116.73193359375,193431.765625,31.07368278503418,249565.109375,,3403
,,,,,,,0.0005,3404
74,196304.421875,1.7930067777633667,4100.20751953125,192173.5,30.716909408569336,248499.890625,,3449
,,,,,,,0.0005,3450
75,195034.703125,2.090907573699951,4083.751220703125,190920.546875,30.409143447875977,247430.59375,,3495
,,,,,,,0.0005,3496
76,193770.453125,2.3618087768554688,4067.3603515625,189672.953125,30.135517120361328,246357.390625,,3541
,,,,,,,0.0005,3542
77,192511.625,2.6080076694488525,4051.03515625,188430.6875,29.888484954833984,245280.46875,,3587
,,,,,,,0.0005,3588
78,191258.21875,2.8317384719848633,4034.764892578125,187193.78125,29.664745330810547,244200.03125,,3633
,,,,,,,0.0005,3634
79,190010.34375,3.035168409347534,4018.545654296875,185962.25,29.461854934692383,243116.234375,,3679
,,,,,,,0.0005,3680
80,188767.875,3.2203221321105957,4002.3701171875,184736.265625,29.277788162231445,242029.265625,,3725
,,,,,,,0.0005,3726
81,187530.953125,3.389122486114502,3986.237060546875,183515.625,29.11206817626953,240939.296875,,3771
,,,,,,,0.0005,3772
82,186299.640625,3.5432682037353516,3970.13427734375,182300.515625,28.963134765625,239846.515625,,3817
,,,,,,,0.0005,3818
83,185074.046875,3.684363603591919,3954.07861328125,181091.109375,28.83354949951172,238751.0625,,3863
,,,,,,,0.0005,3864
