epoch,loss,loss/beta,loss/data,loss/ic,loss/res,loss/smma,lr,step
,,,,,,,0.0005,0
0,310594.40625,1.44442617893219,0.5142483115196228,310593.53125,0.45197534561157227,,,44
,,,,,,,0.0005,45
1,302547.21875,1.9608174562454224,0.4764939248561859,302546.6875,0.02382495254278183,,,89
,,,,,,,0.0005,90
2,299957.03125,2.240981101989746,0.4774971306324005,299956.53125,0.006393695715814829,,,134
,,,,,,,0.0005,135
3,297977.3125,2.3874685764312744,0.47814318537712097,297976.8125,0.0025783097371459007,,,179
,,,,,,,0.0005,180
4,296136.5625,2.471585988998413,0.47856786847114563,296136.03125,0.0013542184606194496,,,224
,,,,,,,0.0005,225
5,294366.59375,2.5264484882354736,0.47884711623191833,294366.15625,0.0008312274585478008,,,269
,,,,,,,0.0005,270
6,292640.8125,2.564850330352783,0.4790398180484772,292640.28125,0.0005649850354529917,,,314
,,,,,,,0.0005,315
7,290946.0,2.5927200317382812,0.47917866706848145,290945.5,0.00041286495979875326,,,359
,,,,,,,0.0005,360
8,289274.625,2.613218307495117,0.479282021522522,289274.15625,0.0003186180838383734,,,404
,,,,,,,0.0005,405
9,287621.84375,2.6281943321228027,0.4793609082698822,287621.34375,0.0002566640032455325,,,449
,,,,,,,0.0005,450
10,285984.46875,2.638810157775879,0.4794219434261322,285984.03125,0.00021408716565929353,,,494
,,,,,,,0.0005,495
11,284360.34375,2.6458311080932617,0.4794696867465973,284359.90625,0.00018382418784312904,,,539
,,,,,,,0.0005,540
12,282747.71875,2.649782419204712,0.47950705885887146,282747.25,0.00016176044300664216,,,584
,,,,,,,0.0005,585
13,281145.5,2.651033639907837,0.4795360863208771,281145.0,0.00014537367678713053,,,629
,,,,,,,0.0005,630
14,279552.59375,2.6498498916625977,0.4795583188533783,279552.125,0.00013305267202667892,,,674
,,,,,,,0.0005,675
15,277968.3125,2.646421432495117,0.47957471013069153,277967.875,0.00012373176286928356,,,719
,,,,,,,0.0005,720
16,276392.125,2.6408867835998535,0.4795859456062317,276391.71875,0.00011668655497487634,,,764
,,,,,,,0.0005,765
17,274823.53125,2.6333446502685547,0.4795924425125122,274823.0625,0.0001114133046939969,,,809
,,,,,,,0.0005,810
18,273262.09375,2.6238584518432617,0.47959500551223755,273261.625,0.00010755609400803223,,,854
,,,,,,,0.0005,855
19,271707.46875,2.612471342086792,0.4795932471752167,271707.03125,0.00010486090468475595,,,899
,,,,,,,0.0005,900
20,270159.375,2.5991992950439453,0.4795876145362854,270158.9375,0.0001031463616527617,,,944
,,,,,,,0.0005,945
21,268617.625,2.584043264389038,0.47957801818847656,268617.09375,0.00010228480823570862,,,989
,,,,,,,0.0005,990
22,267081.96875,2.5669846534729004,0.4795643389225006,267081.46875,0.000102189791505225,,,1034
,,,,,,,0.0005,1035
23,265552.15625,2.5479862689971924,0.4795461595058441,265551.65625,0.00010280813148710877,,,1079
,,,,,,,0.0005,1080
24,264028.25,2.5269968509674072,0.47952333092689514,264027.71875,0.00010411553375888616,,,1124
,,,,,,,0.0005,1125
