epoch,loss,loss/beta,loss/data,loss/ic,loss/res,loss/smma,lr,step
,,,,,,,0.0005,0
0,1.0869828462600708,0.10850487649440765,0.08216378837823868,0.3281072974205017,0.6767120361328125,,,45
,,,,,,,0.0005,46
1,0.01150097418576479,0.11481093615293503,0.010108863934874535,0.00023243736359290779,0.001159671344794333,,,91
,,,,,,,0.0005,92
2,0.010039130225777626,0.11567443609237671,0.010035387240350246,6.583215395039588e-07,3.0813837383902865e-06,,,137
,,,,,,,0.0005,138
3,0.010037064552307129,0.11569558829069138,0.010035292245447636,1.6387598122946656e-07,1.6076409110610257e-06,,,183
,,,,,,,0.0005,184
4,0.010036913678050041,0.11570879071950912,0.01003514789044857,1.6635554800359387e-07,1.5985995105438633e-06,,,229
,,,,,,,0.0005,230
5,0.010036741383373737,0.11572371423244476,0.010034970939159393,1.6999412366658362e-07,1.6034770169426338e-06,,,275
,,,,,,,0.0005,276
6,0.010036550462245941,0.11574070155620575,0.010034755803644657,1.7540391183956672e-07,1.6177571069420082e-06,,,321
,,,,,,,0.0005,322
7,0.010036328807473183,0.11575974524021149,0.010034502483904362,1.823664774747158e-07,1.6434825056421687e-06,,,367
,,,,,,,0.0005,368
8,0.010036073625087738,0.11578107625246048,0.010034199804067612,1.9111506333047146e-07,1.6829068272272707e-06,,,413
,,,,,,,0.0005,414
9,0.010035770945250988,0.1158047765493393,0.010033831931650639,2.0148367241290543e-07,1.737379079713719e-06,,,459
,,,,,,,0.0005,460
10,0.010035406798124313,0.1158311516046524,0.010033383965492249,2.1482053114141308e-07,1.8072524881063146e-06,,,505
,,,,,,,0.0005,506
11,0.010034964419901371,0.11586083471775055,0.010032839141786098,2.3050299091664783e-07,1.8930414853457478e-06,,,551
,,,,,,,0.0005,552
12,0.010034401901066303,0.11589429527521133,0.010032150894403458,2.4940209186752327e-07,2.0007857983728172e-06,,,597
,,,,,,,0.0005,598
13,0.010033693164587021,0.11593276262283325,0.010031272657215595,2.751388876731653e-07,2.145512098650215e-06,,,643
,,,,,,,0.0005,644
14,0.01003276463598013,0.11597748100757599,0.010030103847384453,3.1012797307994333e-07,2.3499660528614186e-06,,,689
,,,,,,,0.0005,690
15,0.010031492449343204,0.11603060364723206,0.010028482414782047,3.592093094084703e-07,2.648119789228076e-06,,,735
,,,,,,,0.0005,736
16,0.010029610246419907,0.11609587073326111,0.010026070289313793,4.3500605784174695e-07,3.106300027866382e-06,,,781
,,,,,,,0.0005,782
17,0.010026508942246437,0.1161799281835556,0.010022057220339775,5.625799417430244e-07,3.888172159349779e-06,,,827
,,,,,,,0.0005,828
18,0.010020271874964237,0.11629834771156311,0.010013885796070099,8.33458670967957e-07,5.550894002226414e-06,,,873
,,,,,,,0.0005,874
19,0.010001307353377342,0.11650681495666504,0.009985314682126045,1.9619403701653937e-06,1.402964426233666e-05,,,919
,,,,,,,0.0005,920
20,0.009983222931623459,0.11844434589147568,0.009433824568986893,5.51117627765052e-05,0.0004942900268360972,,,965
,,,,,,,0.0005,966
21,0.00997962150722742,0.12708218395709991,0.009945305995643139,7.944743629195727e-06,2.6372103093308397e-05,,,1011
,,,,,,,0.0005,1012
22,0.00990463700145483,0.128693088889122,0.009827982634305954,9.570817383064423e-06,6.708645378239453e-05,,,1057
,,,,,,,0.0005,1058
23,0.009866898879408836,0.13233791291713715,0.009652819484472275,2.3607473849551752e-05,0.00019047007663175464,,,1103
,,,,,,,0.0005,1104
24,0.009821860119700432,0.1402961164712906,0.009579319506883621,2.2916932721273042e-05,0.00021962269966024905,,,1149
,,,,,,,0.0005,1150
25,0.009743768721818924,0.15021242201328278,0.00944433081895113,2.410660272289533e-05,0.0002753316657617688,,,1195
,,,,,,,0.0005,1196
26,0.009682959876954556,0.16277343034744263,0.009318750351667404,2.766802572296001e-05,0.00033653955324552953,,,1241
,,,,,,,0.0005,1242
27,0.009608058258891106,0.17854376137256622,0.009188682772219181,3.306972575956024e-05,0.0003863077436108142,,,1287
,,,,,,,0.0005,1288
28,0.00949840247631073,0.19743207097053528,0.009019138291478157,4.436671224539168e-05,0.00043489233939908445,,,1333
,,,,,,,0.0005,1334
29,0.009366657584905624,0.21963223814964294,0.008823229931294918,6.246451812330633e-05,0.00048096495447680354,,,1379
,,,,,,,0.0005,1380
30,0.009156168438494205,0.24397774040699005,0.008622376248240471,8.078965038293973e-05,0.000453002197900787,,,1425
,,,,,,,0.0005,1426
31,0.008960205130279064,0.267386257648468,0.008463732898235321,7.787891809130087e-05,0.00041859265184029937,,,1471
,,,,,,,0.0005,1472
32,0.0087606031447649,0.2881239354610443,0.008324441500008106,7.532763265771791e-05,0.00036083636223338544,,,1517
,,,,,,,0.0005,1518
33,0.008606351912021637,0.3029296398162842,0.00815859716385603,3.157060928060673e-05,0.0004161832621321082,,,1563
,,,,,,,0.0005,1564
34,0.00847542192786932,0.3156207501888275,0.008091188035905361,2.548840711824596e-05,0.000358746008714661,,,1609
,,,,,,,0.0005,1610
35,0.00826147012412548,0.3249000012874603,0.007899590767920017,2.8127149562351406e-05,0.0003337472735438496,,,1655
,,,,,,,0.0005,1656
36,0.008099266327917576,0.3322118818759918,0.007780103478580713,1.974263614101801e-05,0.00029942122637294233,,,1701
,,,,,,,0.0005,1702
37,0.0079362653195858,0.33758366107940674,0.007602617144584656,2.5880663088173606e-05,0.0003077691653743386,,,1747
,,,,,,,0.0005,1748
38,0.007849687710404396,0.34131836891174316,0.00756059167906642,1.7899768863571808e-05,0.00027119548758491874,,,1793
,,,,,,,0.0005,1794
39,0.0077557023614645,0.34337323904037476,0.007453944068402052,1.8310591258341447e-05,0.00028344738529995084,,,1839
,,,,,,,0.0005,1840
40,0.007681753020733595,0.34460943937301636,0.0074012442491948605,2.0500863683992065e-05,0.00026000698562711477,,,1885
,,,,,,,0.0005,1886
41,0.007598957512527704,0.34483665227890015,0.007331894710659981,1.4321793969429564e-05,0.00025274098152294755,,,1931
,,,,,,,0.0005,1932
42,0.007492751348763704,0.3442995548248291,0.007238632533699274,1.7035965356626548e-05,0.0002370820875512436,,,1977
,,,,,,,0.0005,1978
43,0.007469323929399252,0.3431154191493988,0.00722413370385766,1.6434876670246013e-05,0.00022875505965203047,,,2023
,,,,,,,0.0005,2024
44,0.007356594782322645,0.3413037955760956,0.007120127324014902,1.3870421753381379e-05,0.00022259574325289577,,,2069
,,,,,,,0.0005,2070
45,0.007329356856644154,0.3399876058101654,0.0070855822414159775,1.427167808287777e-05,0.00022950374113861471,,,2115
,,,,,,,0.0005,2116
46,0.007329785730689764,0.3370181918144226,0.007179752923548222,8.250099199358374e-06,0.00014178505807649344,,,2161
,,,,,,,0.0005,2162
47,0.007069108542054892,0.33550235629081726,0.006859603337943554,8.563324627175462e-06,0.0002009424497373402,,,2207
,,,,,,,0.0005,2208
48,0.006795424036681652,0.3343203067779541,0.006566086318343878,1.4707255104440264e-05,0.00021462996664922684,,,2253
,,,,,,,0.0005,2254
49,0.006986631080508232,0.33029425144195557,0.0067275166511535645,8.279658686660696e-06,0.00025083485525101423,,,2299
,,,,,,,0.0005,2300
50,0.0070403446443378925,0.3297031819820404,0.006819174624979496,1.9430408428888768e-05,0.00020173913799226284,,,2345
,,,,,,,0.0005,2346
51,0.006244174670428038,0.3306427299976349,0.005973366554826498,2.2020767573849298e-05,0.0002487889432813972,,,2391
,,,,,,,0.0005,2392
52,0.005722840316593647,0.3280937075614929,0.005365925375372171,3.7826986954314634e-05,0.0003190879069734365,0.030308768153190613,,2437
,,,,,,,0.0005,2438
53,0.005493653938174248,0.32445552945137024,0.005129288416355848,6.483793549705297e-05,0.0002995281829498708,0.029812466353178024,,2483
,,,,,,,0.0005,2484
54,0.005026115104556084,0.3215619623661041,0.004714394919574261,7.482703040295746e-06,0.0003042386961169541,0.0293167382478714,,2529
,,,,,,,0.0005,2530
55,0.004472067579627037,0.3191283345222473,0.004089754540473223,4.49633807875216e-05,0.0003373521030880511,0.028819845989346504,,2575
,,,,,,,0.0005,2576
56,0.00400794530287385,0.31359022855758667,0.003502580802887678,5.3184194257482886e-05,0.00045218010200187564,0.02832360751926899,,2621
,,,,,,,0.0005,2622
57,0.0036563740577548742,0.30570781230926514,0.0031072357669472694,3.570579792722128e-05,0.0005134323728270829,0.02783026173710823,,2667
,,,,,,,0.0005,2668
58,0.003449496813118458,0.29652369022369385,0.0028394199907779694,3.9060010749381036e-05,0.0005710169207304716,0.027342647314071655,,2713
,,,,,,,0.0005,2714
59,0.003188429167494178,0.28823602199554443,0.002603167900815606,4.389699097373523e-05,0.0005413642502389848,0.02685956284403801,,2759
,,,,,,,0.0005,2760
60,0.0030497675761580467,0.27967387437820435,0.0024406223092228174,3.293798727099784e-05,0.0005762072978541255,0.02638336643576622,,2805
,,,,,,,0.0005,2806
61,0.0027730674482882023,0.27199599146842957,0.0022242285776883364,3.118857421213761e-05,0.0005176498088985682,0.025911161676049232,,2851
,,,,,,,0.0005,2852
62,0.0027361889369785786,0.263586163520813,0.0021379890386015177,3.5657085390994325e-05,0.0005625432240776718,0.0254476610571146,,2897
,,,,,,,0.0005,2898
63,0.002444688230752945,0.25667306780815125,0.0019074229057878256,5.536123353522271e-05,0.0004819044261239469,0.02498760260641575,,2943
,,,,,,,0.0005,2944
64,0.002552896039560437,0.24829183518886566,0.0019554034806787968,2.0086137737962417e-05,0.0005774063756689429,0.024538908153772354,,2989
,,,,,,,0.0005,2990
65,0.002241368405520916,0.24201829731464386,0.0017763844225555658,3.866579936584458e-05,0.00042631817632354796,0.024092957377433777,,3035
,,,,,,,0.0005,3036
66,0.002593820448964834,0.2343546450138092,0.0019522581715136766,1.8689375792746432e-05,0.0006228730781003833,0.023662975057959557,,3081
,,,,,,,0.0005,3082
67,0.0023437822237610817,0.22975866496562958,0.0018765132408589125,3.1486157240578905e-05,0.0004357827128842473,0.02323659136891365,,3127
,,,,,,,0.0005,3128
68,0.002549527445808053,0.2242380976676941,0.0019940296187996864,1.4237057257560082e-05,0.0005412610480561852,0.022822849452495575,,3173
,,,,,,,0.0005,3174
69,0.002458549803122878,0.2202802151441574,0.0019480300834402442,4.4537442590808496e-05,0.00046598236076533794,0.022415563464164734,,3219
,,,,,,,0.0005,3220
70,0.002554698847234249,0.217551127076149,0.0019788809586316347,0.00016550286090932786,0.00041031482396647334,0.022018346935510635,,3265
,,,,,,,0.0005,3266
71,0.002129913540557027,0.21392226219177246,0.0016900362679734826,1.5865427485550754e-05,0.00042401259997859597,0.021620577201247215,,3311
,,,,,,,0.0005,3312
72,0.0021998255979269743,0.20901437103748322,0.00171411014162004,1.1377348528185394e-05,0.00047433789586648345,0.021232161670923233,,3357
,,,,,,,0.0005,3358
73,0.002126123523339629,0.20472481846809387,0.0016486658714711666,4.253282895660959e-05,0.0004349256632849574,0.02085004188120365,,3403
,,,,,,,0.0005,3404
