epoch,loss,loss/Rt,loss/data,loss/ic,loss/res,lr,step
,,,,,,0.0005,0
0,1.9002764225006104,3.432466745376587,0.06637163460254669,0.12217152863740921,1.711733341217041,,59
,,,,,,0.0005,60
1,0.003597638802602887,3.703674554824829,0.003583121346309781,7.665810699108988e-06,6.851493708381895e-06,,119
,,,,,,0.0005,120
2,0.003597219241783023,3.6846537590026855,0.0035837285686284304,7.261885912157595e-06,6.22962397756055e-06,,179
,,,,,,0.0005,180
3,0.003595579881221056,3.6604626178741455,0.003580897580832243,8.531101229891647e-06,6.152361493150238e-06,,239
,,,,,,0.0005,240
4,0.0035934315528720617,3.6302599906921387,0.003577089635655284,1.032554246194195e-05,6.017358373355819e-06,,299
,,,,,,0.0005,300
5,0.003590664593502879,3.592597007751465,0.0035720469895750284,1.2817670722142793e-05,5.799646260129521e-06,,359
,,,,,,0.0005,360
6,0.003586995182558894,3.544227123260498,0.0035653056111186743,1.625089680601377e-05,5.438212156150257e-06,,419
,,,,,,0.0005,420
7,0.0035816398449242115,3.477670907974243,0.003555827774107456,2.1077916244394146e-05,4.735108632303309e-06,,479
,,,,,,0.0005,480
8,0.0035724055487662554,3.3750357627868652,0.0035404860973358154,2.87015936919488e-05,3.2190066576731624e-06,,539
,,,,,,0.0005,540
9,0.0035541735123842955,3.2167255878448486,0.003507555229589343,4.403001003083773e-05,2.5890076358336955e-06,,599
,,,,,,0.0005,600
10,0.003507389687001705,3.0776946544647217,0.003419230692088604,8.115563105093315e-05,7.003438440733589e-06,,659
,,,,,,0.0005,660
11,0.003274142276495695,2.85337495803833,0.0030577026773244143,0.00015590651310048997,6.053321703802794e-05,,719
,,,,,,0.0005,720
12,0.003489027265459299,2.8916542530059814,0.003466714872047305,9.638697520131245e-06,1.2673281162278727e-05,,779
,,,,,,0.0005,780
13,0.003127468517050147,2.763864278793335,0.002911315532401204,0.00020732186385430396,8.830475053400733e-06,,839
,,,,,,0.0005,840
14,0.003151198383420706,2.7134716510772705,0.003022080520167947,0.00012673721357714385,2.380199248364079e-06,,899
,,,,,,0.0005,900
15,0.0029737765435129404,2.6728200912475586,0.0027959553990513086,0.00017060448590200394,7.2154948611569125e-06,,959
,,,,,,0.0005,960
16,0.0028590967413038015,2.623863697052002,0.0026594188529998064,0.00017040102102328092,2.92761924356455e-05,,1019
,,,,,,0.0005,1020
17,0.0027870233170688152,2.5901284217834473,0.002577378647401929,0.00015980056195985526,4.9844591558212414e-05,,1079
,,,,,,0.0005,1080
18,0.002739387797191739,2.5747735500335693,0.002523306291550398,0.00015630705456715077,5.97747894062195e-05,,1139
,,,,,,0.0005,1140
19,0.0027043644804507494,2.5664725303649902,0.0024861982092261314,0.00015452712250407785,6.363918510032818e-05,,1199
,,,,,,0.0005,1200
20,0.0026736357249319553,2.560206890106201,0.0024545560590922832,0.00015252103912644088,6.655874312855303e-05,,1259
,,,,,,0.0005,1260
21,0.0026420222129672766,2.5529909133911133,0.0024251409340649843,0.00015050677757244557,6.637431215494871e-05,,1319
,,,,,,0.0005,1320
22,0.002600362291559577,2.5446090698242188,0.002393401227891445,0.00014964467845857143,5.7316432503284886e-05,,1379
,,,,,,0.0005,1380
23,0.002555203391239047,2.5288760662078857,0.0023447235580533743,0.00014958641258999705,6.08938789810054e-05,,1439
,,,,,,0.0005,1440
