t,S,I,R,I_obs,Rt
2020-04-07,5.016621e+07,5.591137e+05,5.274679e+06,5.585030e+05,0.767022
2020-04-08,5.009319e+07,5.237270e+05,5.383085e+06,5.245650e+05,0.712788
2020-04-09,5.002847e+07,4.873226e+05,5.484206e+06,4.867800e+05,0.713519
2020-04-10,4.996862e+07,4.531539e+05,5.578224e+06,4.543590e+05,0.741176
2020-04-11,4.991185e+07,4.224185e+05,5.665728e+06,4.226120e+05,0.736198
2020-04-12,4.985772e+07,3.948979e+05,5.747383e+06,3.960570e+05,0.749658
2020-04-13,4.980736e+07,3.688931e+05,5.823744e+06,3.696510e+05,0.740564
2020-04-14,4.976025e+07,3.446517e+05,5.895097e+06,3.444820e+05,0.754333
2020-04-15,4.971492e+07,3.232242e+05,5.961857e+06,3.228800e+05,0.781210
2020-04-16,4.967112e+07,3.043473e+05,6.024531e+06,3.047530e+05,0.792217
2020-04-17,4.963025e+07,2.862027e+05,6.083545e+06,2.852950e+05,0.759378
2020-04-18,4.959294e+07,2.681405e+05,6.138919e+06,2.685820e+05,0.776856
2020-04-19,4.955730e+07,2.517667e+05,6.190934e+06,2.504610e+05,0.762883
2020-04-20,4.952261e+07,2.375102e+05,6.239883e+06,2.377000e+05,0.817428
2020-04-21,4.948944e+07,2.245043e+05,6.286055e+06,2.249880e+05,0.796150
2020-04-22,4.945905e+07,2.113267e+05,6.329628e+06,2.112020e+05,0.759188
2020-04-23,4.943137e+07,1.980886e+05,6.370544e+06,1.986230e+05,0.745457
2020-04-24,4.940628e+07,1.848924e+05,6.408824e+06,1.840310e+05,0.723521
2020-04-25,4.938356e+07,1.719324e+05,6.444512e+06,1.720030e+05,0.712400
2020-04-26,4.936281e+07,1.595113e+05,6.477677e+06,1.596200e+05,0.710017
2020-04-27,4.934379e+07,1.478079e+05,6.508405e+06,1.476340e+05,0.665083
2020-04-28,4.932708e+07,1.361366e+05,6.536783e+06,1.357210e+05,0.657463
2020-04-29,4.931223e+07,1.248863e+05,6.562885e+06,1.242600e+05,0.641549
2020-04-30,4.929888e+07,1.143171e+05,6.586804e+06,1.142480e+05,0.627802
