epoch,loss,loss/data,loss/ic,loss/res,loss/smma,lr,params/beta,step
58,0.00748165650293231,0.007019633427262306,2.4813914933474734e-05,0.0004372129333205521,0.051633320748806,,0.5392544269561768,2713
,,,,,,0.0005,,2714
59,0.007370307110249996,0.0069071948528289795,2.4951863451860845e-05,0.0004381583130452782,0.050748061388731,,0.6595593094825745,2759
,,,,,,0.0005,,2760
60,0.0072589353658258915,0.006797050591558218,2.3961878468981013e-05,0.00043792123324237764,0.049878280609846115,,0.781656801700592,2805
,,,,,,0.0005,,2806
61,0.007148313336074352,0.006686340551823378,2.3941933250171132e-05,0.00043803086737170815,0.04902368038892746,,0.9038663506507874,2851
,,,,,,0.0005,,2852
62,0.00704001123085618,0.006579513195902109,2.3121267076930963e-05,0.00043737946543842554,0.04818400740623474,,1.026450753211975,2897
,,,,,,0.0005,,2898
63,0.006934243720024824,0.006474263966083527,2.317667349416297e-05,0.0004368019581306726,0.04735901206731796,,1.1491384506225586,2943
,,,,,,0.0005,,2944
64,0.006830883212387562,0.006375589407980442,2.320046041859314e-05,0.00043209397699683905,0.046548448503017426,,1.2730282545089722,2989
,,,,,,0.0005,,2990
65,0.006725125014781952,0.006275117862969637,2.5643194021540694e-05,0.00042436373769305646,0.04575198143720627,,1.4026529788970947,3035
,,,,,,0.0005,,3036
66,0.006619912572205067,0.00617824075743556,3.226191984140314e-05,0.0004094111791346222,0.044969342648983,,1.5423996448516846,3081
,,,,,,0.0005,,3082
67,0.006506952457129955,0.006083108019083738,4.1898416384356096e-05,0.00038194621447473764,0.04420009255409241,,1.6988351345062256,3127
,,,,,,0.0005,,3128
68,0.006347041577100754,0.00595700740814209,1.5772842743899673e-05,0.0003742612316273153,0.04344303160905838,,1.8758171796798706,3173
,,,,,,0.0005,,3174
69,0.006197548937052488,0.005807382054626942,1.0967615708068479e-05,0.00037919884198345244,0.042698122560977936,,2.0643651485443115,3219
,,,,,,0.0005,,3220
70,0.006083142943680286,0.005674475803971291,2.10180260182824e-05,0.00038764806231483817,0.041965823620557785,,2.247702121734619,3265
,,,,,,0.0005,,3266
71,0.0059984163381159306,0.005562401842325926,4.1361905459780246e-05,0.00039465216104872525,0.04124647378921509,,2.4082467555999756,3311
,,,,,,0.0005,,3312
72,0.0058986288495361805,0.0054624262265861034,2.7251055144006386e-05,0.0004089506983291358,0.040539517998695374,,2.5794577598571777,3357
,,,,,,0.0005,,3358
73,0.005774541758000851,0.005332820117473602,1.862343560787849e-05,0.00042309894342906773,0.039844218641519547,,2.745833158493042,3403
,,,,,,0.0005,,3404
74,0.005678184330463409,0.0052136946469545364,2.5456598450546153e-05,0.0004390341928228736,0.039160896092653275,,2.880133628845215,3449
,,,,,,0.0005,,3450
75,0.0056037455797195435,0.005119339097291231,3.544334686012007e-05,0.0004489636921789497,0.03848975524306297,,2.9909591674804688,3495
,,,,,,0.0005,,3496
76,0.005519801285117865,0.005045885220170021,3.1641768146073446e-05,0.0004422733618412167,0.03783035650849342,,3.109231472015381,3541
,,,,,,0.0005,,3542
77,0.005443204194307327,0.00495558837428689,4.626627924153581e-05,0.00044134838390164077,0.03718261420726776,,3.2373154163360596,3587
,,,,,,0.0005,,3588
78,0.005351511295884848,0.004883340559899807,1.946444717759732e-05,0.0004487068799789995,0.03654599189758301,,3.365844488143921,3633
,,,,,,0.0005,,3634
79,0.00527225574478507,0.004809698089957237,3.0193677957868204e-05,0.00043236432247795165,0.03592051565647125,,3.5038394927978516,3679
,,,,,,0.0005,,3680
80,0.005171902943402529,0.004723351448774338,3.0458997571258806e-05,0.0004180924443062395,0.03530554473400116,,3.646306037902832,3725
,,,,,,0.0005,,3726
81,0.005102817434817553,0.004642516374588013,6.781173578929156e-05,0.00039248791290447116,0.03470148891210556,,3.808406114578247,3771
,,,,,,0.0005,,3772
82,0.004962904378771782,0.004562779795378447,1.2754405361192767e-05,0.0003873701498378068,0.03410671651363373,,4.004392623901367,3817
,,,,,,0.0005,,3818
83,0.004872183781117201,0.004474340006709099,1.1990818165941164e-05,0.0003858524141833186,0.03352202847599983,,4.208835601806641,3863
,,,,,,0.0005,,3864
84,0.0048067388124763966,0.004389708396047354,3.2037478376878425e-05,0.0003849924250971526,0.03294771909713745,,4.408130645751953,3909
,,,,,,0.0005,,3910
85,0.004717560950666666,0.004302555229514837,3.713083060574718e-05,0.00037787342444062233,0.03238311782479286,,4.607247352600098,3955
,,,,,,0.0005,,3956
86,0.004608761053532362,0.0042001428082585335,1.6541154764126986e-05,0.0003920764720533043,0.03182763233780861,,4.8057861328125,4001
,,,,,,0.0005,,4002
87,0.004532656632363796,0.004109358415007591,2.56356561294524e-05,0.000397662864997983,0.0312817320227623,,4.995253086090088,4047
,,,,,,0.0005,,4048
88,0.004418189637362957,0.004012179560959339,1.9866578440996818e-05,0.0003861439763568342,0.030744459480047226,,5.209534168243408,4093
,,,,,,0.0005,,4094
89,0.004326016642153263,0.003916565794497728,2.4122400645865127e-05,0.000385329156415537,0.030216092243790627,,5.413570404052734,4139
,,,,,,0.0005,,4140
90,0.004245758056640625,0.003822138300165534,3.363294308655895e-05,0.00038998681702651083,0.029696684330701828,,5.61176872253418,4185
,,,,,,0.0005,,4186
91,0.004201750736683607,0.0037518045864999294,3.4615222830325365e-05,0.00041533171315677464,0.029186785221099854,,5.781105041503906,4231
,,,,,,0.0005,,4232
92,0.0040973699651658535,0.0036951301153749228,1.7583550288691185e-05,0.00038465490797534585,0.02868499793112278,,5.972561359405518,4277
,,,,,,0.0005,,4278
93,0.003998226951807737,0.0035927246790379286,1.2595829502970446e-05,0.0003929055528715253,0.02819126285612583,,6.198367595672607,4323
,,,,,,0.0005,,4324
94,0.004010424017906189,0.0035432828590273857,7.780674059176818e-05,0.00038933471660129726,0.027707645669579506,,6.401700496673584,4369
,,,,,,0.0005,,4370
95,0.004099137149751186,0.0034986822865903378,0.00023664467153139412,0.0003638103080447763,0.027235476300120354,,6.5668206214904785,4415
,,,,,,0.0005,,4416
96,0.0038399717304855585,0.003453084034845233,2.6666419216780923e-05,0.00036022072890773416,0.026767564937472343,,6.765639305114746,4461
,,,,,,0.0005,,4462
97,0.003705006092786789,0.0033040123526006937,1.3800920896755997e-05,0.0003871922963298857,0.026306314393877983,,6.986446857452393,4507
,,,,,,0.0005,,4508
98,0.0036216573789715767,0.0032264618203043938,7.469945558113977e-06,0.00038772571133449674,0.025852620601654053,,7.220333576202393,4553
,,,,,,0.0005,,4554
99,0.0035561579279601574,0.0031578282359987497,7.772578101139516e-06,0.00039055742672644556,0.025406692177057266,,7.455657482147217,4599
,,,,,,0.0005,,4600
100,0.0037053825799375772,0.0031067898962646723,0.00020967777527403086,0.0003889150684699416,0.024972666054964066,,7.625973224639893,4645
,,,,,,0.0005,,4646
101,0.003667361568659544,0.0030620978213846684,0.0002061499544652179,0.0003991140692960471,0.024546559900045395,,7.748924732208252,4691
,,,,,,0.0005,,4692
102,0.003450734307989478,0.0030498767737299204,2.538222906878218e-05,0.00037547587999142706,0.024124642834067345,,7.9148149490356445,4737
,,,,,,0.0005,,4738
103,0.0033229421824216843,0.002905007917433977,1.5311261449824087e-05,0.0004026225069537759,0.023708609864115715,,8.131889343261719,4783
,,,,,,0.0005,,4784
104,0.003268301021307707,0.0028509467374533415,1.5489944416913204e-05,0.00040186484693549573,0.023299802094697952,,8.356810569763184,4829
,,,,,,0.0005,,4830
105,0.0032074032351374626,0.0027840847615152597,1.8823109712684527e-05,0.0004044956003781408,0.022897955030202866,,8.55988883972168,4875
,,,,,,0.0005,,4876
106,0.003100343979895115,0.0027311290614306927,1.1870056368934456e-05,0.00035734547418542206,0.022502003237605095,,8.706809043884277,4921
,,,,,,0.0005,,4922
107,0.003083126386627555,0.002661241451278329,3.25050059473142e-05,0.0003893802349921316,0.022113624960184097,,8.950188636779785,4967
,,,,,,0.0005,,4968
108,0.0028599409852176905,0.002534656785428524,1.8612321582622826e-05,0.00030667224200442433,0.021728551015257835,,9.089937210083008,5013
,,,,,,0.0005,,5014
109,0.0029929187148809433,0.0024957105051726103,0.0001057623594533652,0.0003914455301128328,0.021353838965296745,,9.34826946258545,5059
,,,,,,0.0005,,5060
110,0.002799706533551216,0.002455533016473055,5.65521368116606e-05,0.00028762052534148097,0.020982755348086357,,9.560538291931152,5105
,,,,,,0.0005,,5106
111,0.002789517631754279,0.0023835469037294388,6.669495178357465e-06,0.0003993019927293062,0.020618891343474388,,9.838878631591797,5151
,,,,,,0.0005,,5152
112,0.002744990400969982,0.0022892861161381006,3.131610719719902e-05,0.0004243883304297924,0.020261412486433983,,10.056830406188965,5197
,,,,,,0.0005,,5198
113,0.0024527227506041527,0.0021404162980616093,1.3994411347084679e-05,0.00029831231222487986,0.01990523934364319,,10.233931541442871,5243
,,,,,,0.0005,,5244
114,0.002457226160913706,0.002142863115295768,1.6155334378709085e-05,0.00029820785857737064,0.019556278362870216,,10.506937980651855,5289
,,,,,,0.0005,,5290
115,0.002374697243794799,0.0020828789565712214,8.33860849525081e-06,0.0002834800980053842,0.019212648272514343,,10.768125534057617,5335
,,,,,,0.0005,,5336
116,0.002637455938383937,0.0020005926489830017,0.0002122071455232799,0.0004246566095389426,0.018881144002079964,,10.939085006713867,5381
,,,,,,0.0005,,5382
117,0.002374522853642702,0.001964694820344448,7.209431350929663e-05,0.00033773478935472667,0.018551010638475418,,10.965507507324219,5427
,,,,,,0.0005,,5428
118,0.0024457403924316168,0.0019514061277732253,0.00011276765872025862,0.0003815657692030072,0.018228905275464058,,11.170340538024902,5473
,,,,,,0.0005,,5474
119,0.002386224688962102,0.00191982660908252,0.00012057029380230233,0.00034582760417833924,0.01791205257177353,,11.396592140197754,5519
,,,,,,0.0005,,5520
120,0.0023170216009020805,0.0018538504373282194,9.234552999259904e-05,0.00037082633934915066,0.017600150778889656,,11.632129669189453,5565
,,,,,,0.0005,,5566
121,0.0024589148815721273,0.001809780951589346,3.931603714590892e-05,0.0006098182057030499,0.017297327518463135,,11.825028419494629,5611
,,,,,,0.0005,,5612
122,0.0026831314899027348,0.0017051059985533357,0.0006103257765062153,0.00036769884172827005,0.017005043104290962,,11.764086723327637,5657
,,,,,,0.0005,,5658
123,0.0029249703511595726,0.001769516384229064,6.385663436958566e-05,0.0010915971361100674,0.01672344096004963,,11.787452697753906,5703
,,,,,,0.0005,,5704
124,0.0025347047485411167,0.0019421710167080164,0.00018951641686726362,0.00040301753324456513,0.016439666971564293,,11.819056510925293,5749
,,,,,,0.0005,,5750
125,0.0024201609194278717,0.0017347807297483087,0.00027374865021556616,0.0004116319178137928,0.01615927740931511,,11.718860626220703,5795
,,,,,,0.0005,,5796
126,0.002273515798151493,0.0016944677336141467,0.00014731734700035304,0.0004317314305808395,0.015881560742855072,,11.900723457336426,5841
,,,,,,0.0005,,5842
127,0.002438871655613184,0.0016338579589501023,0.0004331125528551638,0.00037190152215771377,0.01561270747333765,,12.129018783569336,5887
,,,,,,0.0005,,5888
128,0.0022096927277743816,0.0016356547130271792,0.00012112558033550158,0.0004529127909336239,0.015344647690653801,,12.362889289855957,5933
,,,,,,0.0005,,5934
129,0.0021449739579111338,0.0015708785504102707,0.00019908417016267776,0.0003750115283764899,0.015080654062330723,,12.558987617492676,5979
,,,,,,0.0005,,5980
130,0.0018094226252287626,0.0015155653236433864,2.7540287192096002e-05,0.0002663165796548128,0.01481522899121046,,12.794417381286621,6025
,,,,,,0.0005,,6026
131,0.0018613622523844242,0.0014141886495053768,2.3396327378577553e-05,0.0004237770044710487,0.014556151814758778,,12.952253341674805,6071
,,,,,,0.0005,,6072
132,0.0018746817950159311,0.0014491520123556256,0.0001270689972443506,0.00029846138204447925,0.014302522875368595,,13.084817886352539,6117
,,,,,,0.0005,,6118
133,0.001817539450712502,0.0013388319639489055,7.355857087532058e-05,0.0004051489813718945,0.014052823185920715,,13.392660140991211,6163
,,,,,,0.0005,,6164
134,0.0020126057788729668,0.0012847613543272018,0.000286710390355438,0.0004411329864524305,0.013812018558382988,,13.521533012390137,6209
,,,,,,0.0005,,6210
135,0.0017940023681148887,0.0013007442466914654,0.00013464083895087242,0.00035861716605722904,0.013571658171713352,,13.713644027709961,6255
,,,,,,0.0005,,6256
136,0.00171269616112113,0.001338699832558632,3.7066940421937034e-05,0.0003369295736774802,0.013334479182958603,,13.954995155334473,6301
,,,,,,0.0005,,6302
137,0.00194559118244797,0.0011922274716198444,0.0002946580061689019,0.0004587057919707149,0.013106700964272022,,14.013071060180664,6347
,,,,,,0.0005,,6348
138,0.0019339806167408824,0.0012507280334830284,0.00024570911773480475,0.0004375435528345406,0.012883246876299381,,14.219679832458496,6393
,,,,,,0.0005,,6394
139,0.001734575955197215,0.0012086114147678018,0.00019931043789256364,0.0003266539133619517,0.012660273350775242,,14.464195251464844,6439
,,,,,,0.0005,,6440
140,0.0019089368870481849,0.0011389022693037987,0.0004191662883386016,0.00035086870775558054,0.012445246800780296,,14.398274421691895,6485
,,,,,,0.0005,,6486
141,0.0018031488871201873,0.0011650422820821404,0.00035924609983339906,0.00027886079624295235,0.012232405133545399,,14.659749031066895,6531
,,,,,,0.0005,,6532
142,0.0016745023895055056,0.001089197932742536,3.674504114314914e-05,0.0005485592992044985,0.012021246366202831,,14.561767578125,6577
,,,,,,0.0005,,6578
143,0.001964643131941557,0.001163605717010796,2.7142470571561716e-05,0.0007738946587778628,0.011820114217698574,,14.524959564208984,6623
,,,,,,0.0005,,6624
144,0.0016522714868187904,0.0011012479662895203,2.65800717897946e-05,0.0005244435742497444,0.011616758070886135,,14.329118728637695,6669
,,,,,,0.0005,,6670
145,0.0018628225661814213,0.0011780130444094539,0.00016023106581997126,0.0005245784996077418,0.011421678587794304,,14.546453475952148,6715
,,,,,,0.0005,,6716
146,0.0016006084624677896,0.0011266254587098956,5.932538988417946e-05,0.0004146577848587185,0.011225258000195026,,14.667701721191406,6761
,,,,,,0.0005,,6762
147,0.001985616283491254,0.001085941563360393,0.0003141021588817239,0.000585572503041476,0.011040464974939823,,14.470353126525879,6807
,,,,,,0.0005,,6808
148,0.0017431427258998156,0.0010042006615549326,0.00028412326355464756,0.0004548187425825745,0.010854518041014671,,14.661219596862793,6853
,,,,,,0.0005,,6854
149,0.001702266512438655,0.0009602549835108221,0.0002655567368492484,0.00047645485028624535,0.010671473108232021,,14.596051216125488,6899
,,,,,,0.0005,,6900
150,0.001707815914414823,0.0010676388628780842,0.00020860643417108804,0.0004315704572945833,0.010492200031876564,,14.826865196228027,6945
,,,,,,0.0005,,6946
151,0.0014964711153879762,0.0009681771043688059,0.0001503411476733163,0.00037795284879393876,0.010312285274267197,,14.89471435546875,6991
,,,,,,0.0005,,6992
152,0.0014210479566827416,0.0009174730512313545,0.00017040119564626366,0.0003331736079417169,0.010134460404515266,,14.921402931213379,7037
,,,,,,0.0005,,7038
153,0.0016104828100651503,0.0009792232885956764,0.0001632168423384428,0.00046804267913103104,0.009963980875909328,,15.093282699584961,7083
,,,,,,0.0005,,7084
154,0.0013027929235249758,0.0007804840570315719,4.052164877066389e-05,0.000481787312310189,0.009790757670998573,,15.029668807983398,7129
,,,,,,0.0005,,7130
155,0.0014463593252003193,0.0008038539672270417,4.108616394660203e-06,0.0006383968866430223,0.009623869322240353,,15.288179397583008,7175
,,,,,,0.0005,,7176
156,0.0015272076707333326,0.0008670807583257556,8.075812365859747e-05,0.0005793689633719623,0.009461936540901661,,15.370552062988281,7221
,,,,,,0.0005,,7222
157,0.0015667935367673635,0.0008625005721114576,0.0001941707741934806,0.000510122103150934,0.00930403359234333,,15.250519752502441,7267
,,,,,,0.0005,,7268
158,0.0013497191248461604,0.000721974647603929,0.0002899017999880016,0.0003378426772542298,0.009144946932792664,,15.51151180267334,7313
,,,,,,0.0005,,7314
159,0.0011271261610090733,0.0008267530938610435,2.238087654404808e-05,0.00027799216331914067,0.008984590880572796,,15.624135971069336,7359
,,,,,,0.0005,,7360
160,0.001329057035036385,0.0007794397533871233,1.987178620765917e-05,0.0005297453026287258,0.008831480517983437,,15.604185104370117,7405
,,,,,,0.0005,,7406
161,0.0017327973619103432,0.0008079024264588952,0.000194318505236879,0.0007305762846954167,0.008689505979418755,,15.823281288146973,7451
,,,,,,0.0005,,7452
162,0.0010702499421313405,0.0006871131481602788,8.488372986903414e-05,0.00029825279489159584,0.00853712111711502,,15.892189025878906,7497
,,,,,,0.0005,,7498
163,0.0014112123753875494,0.000725057499948889,0.00021880930580664426,0.0004673453513532877,0.008394602686166763,,16.210140228271484,7543
,,,,,,0.0005,,7544
164,0.001074229134246707,0.0007316653500311077,6.974484858801588e-05,0.0002728186082094908,0.008248195983469486,,16.42216682434082,7589
,,,,,,0.0005,,7590
165,0.001304885372519493,0.0006842710427008569,4.1211342249880545e-06,0.0006164934602566063,0.008109329268336296,,16.32282257080078,7635
,,,,,,0.0005,,7636
166,0.0010592796606943011,0.0005891793989576399,7.848982932046056e-06,0.00046225139521993697,0.007968328893184662,,16.440176010131836,7681
,,,,,,0.0005,,7682
167,0.0017890192102640867,0.0006799012771807611,0.00013039728219155222,0.0009787207236513495,0.007844742387533188,,16.546892166137695,7727
,,,,,,0.0005,,7728
168,0.001585472607985139,0.0007458453765138984,0.00020429363939911127,0.0006353334756568074,0.007719556801021099,,16.527862548828125,7773
,,,,,,0.0005,,7774
169,0.0013116452610120177,0.0006384476437233388,0.00019671497284434736,0.00047648270265199244,0.007591398432850838,,16.156095504760742,7819
,,,,,,0.0005,,7820
170,0.0017087175510823727,0.000582441221922636,0.0002875229110941291,0.0008387534762732685,0.007473744917660952,,16.251996994018555,7865
,,,,,,0.0005,,7866
171,0.001221927348524332,0.0006384752341546118,2.7051593860960566e-05,0.0005564008606597781,0.007348708808422089,,16.437610626220703,7911
,,,,,,0.0005,,7912
172,0.0012304006377235055,0.0005781922372989357,0.00019076034368481487,0.0004614481294993311,0.007226342335343361,,16.542430877685547,7957
,,,,,,0.0005,,7958
173,0.0009278900688514113,0.00055765948491171,0.00016513538139406592,0.00020509502792265266,0.0071003735065460205,,16.669702529907227,8003
,,,,,,0.0005,,8004
174,0.001055585453286767,0.0005020672106184065,7.294749957509339e-05,0.00048057068488560617,0.006979477591812611,,16.553829193115234,8049
,,,,,,0.0005,,8050
175,0.0012289542937651277,0.0005787190748378634,1.1680706847982947e-05,0.0006385546294040978,0.006864467170089483,,16.689367294311523,8095
,,,,,,0.0005,,8096
176,0.001058537745848298,0.0005069877370260656,6.695745469187386e-06,0.0005448542069643736,0.0067483484745025635,,17.073110580444336,8141
,,,,,,0.0005,,8142
177,0.0014595894608646631,0.0005109014455229044,9.828842848946806e-06,0.0009388590115122497,0.0066425735130906105,,16.848289489746094,8187
,,,,,,0.0005,,8188
178,0.001002729870378971,0.0005217452417127788,3.234076530134189e-06,0.0004777504946105182,0.006529776379466057,,17.096675872802734,8233
,,,,,,0.0005,,8234
179,0.0015457456465810537,0.00046223303070291877,6.231881707208231e-05,0.0010211938060820103,0.0064300959929823875,,17.03167724609375,8279
,,,,,,0.0005,,8280
180,0.0011691971449181437,0.0005173008539713919,0.0001776525314198807,0.0004742437740787864,0.006324877962470055,,17.055578231811523,8325
,,,,,,0.0005,,8326
181,0.0008974304655566812,0.0004155596252530813,8.637525752419606e-05,0.00039549541543237865,0.0062163290567696095,,17.093830108642578,8371
,,,,,,0.0005,,8372
182,0.0009166637901216745,0.0004920601495541632,6.507337275252212e-06,0.0004180964606348425,0.006110335700213909,,17.14258575439453,8417
,,,,,,0.0005,,8418
183,0.000805193034466356,0.0003832138900179416,1.814147617551498e-05,0.0004038376791868359,0.0060042329132556915,,17.21862030029297,8463
,,,,,,0.0005,,8464
